country,First show_id
"Netherlands, United States",s5419
New Zealand,s1913
"New Zealand, Australia, France, United States",s268
"New Zealand, United Kingdom",s6022
"New Zealand, United Kingdom, Australia",s8554
"New Zealand, United States",s8405
Nigeria,s1087
"Nigeria, United Kingdom",s2382
Norway,s1446
"Norway, Denmark",s838
"Norway, Denmark, Netherlands, Sweden",s4333
"Norway, Denmark, Sweden",s7226
"Norway, Germany",s5249
"Norway, Germany, Sweden",s4998
"Norway, Iceland, United States",s4523
"Norway, Sweden",s3083
"Norway, United Kingdom, France, Ireland",s7466
"Norway, United States",s5923
Pakistan,s3537
"Pakistan, Norway, United States",s6654
"Pakistan, United Arab Emirates",s3956
"Pakistan, United States",s2831
"Paraguay, Argentina",s4065
Peru,s4487
"Peru, Germany, Norway",s2192
"Peru, United States, United Kingdom",s8729
Philippines,s1031
"Philippines, Canada, United Kingdom, United States",s1535
"Philippines, Qatar",s4970
"Philippines, Singapore",s3639
"Philippines, Singapore, Indonesia",s738
"Philippines, United States",s3192
Poland,s1327
"Poland,",s7008
"Poland, United States",s2402
"Poland, West Germany",s7434
"Portugal, France, Poland, United States",s7758
"Portugal, Spain",s1387
"Portugal, United States",s1367
"Puerto Rico, United States, Colombia",s2661
Romania,s2625
"Romania, Bulgaria, Hungary",s3204
"Romania, France, Switzerland, Germany",s2844
"Romania, United Kingdom",s2902
"Romania, United States",s2457
Russia,s154
"Russia, Poland, Serbia",s4473
"Russia, Spain",s8785
"Russia, United States",s1171
"Russia, United States, China",s6926
Saudi Arabia,s1570
"Saudi Arabia, Netherlands, Germany, Jordan, United Arab Emirates, United States",s2512
"Saudi Arabia, Syria, Egypt, Lebanon, Kuwait",s4904
"Saudi Arabia, United Arab Emirates",s2442
Senegal,s1488
"Serbia, South Korea, Slovenia",s8485
"Serbia, United States",s1904
Singapore,s1576
"Singapore, France",s5499
"Singapore, Japan, France",s7830
"Singapore, Malaysia",s3385
"Singapore, United States",s3246
"Slovenia, Croatia, Germany, Czech Republic, Qatar",s7012
"Somalia, Kenya, Sudan, South Africa, United States",s8457
South Africa,s1173
"South Africa, Angola",s2088
"South Africa, China, United States",s6004
"South Africa, Germany, Netherlands, France",s7094
"South Africa, Nigeria",s3393
"South Africa, United States",s134
"South Africa, United States, Germany",s5517
"South Africa, United States, Japan",s47
"South Africa, United States, New Zealand, Canada",s6618
South Korea,s1033
"South Korea, Canada, United States, China",s3085
"South Korea, China",s5027
"South Korea, China, United States",s5125
"South Korea, Czech Republic",s556
"South Korea, France",s7332
"South Korea, Japan",s6393
"South Korea, United States",s2822
"Soviet Union, India",s5080
Spain,s110
"Spain, Argentina",s1221
"Spain, Belgium",s4166
"Spain, Belgium, United States",s1348
"Spain, Canada, United States",s8340
"Spain, Colombia",s4937
"Spain, Cuba",s6792
"Spain, France",s3435
"Spain, France, Canada",s1729
"Spain, France, Canada, United States",s2317
"Spain, France, Italy",s6714
"Spain, France, United Kingdom, United States",s358
"Spain, France, United States",s3024
"Spain, France, Uruguay",s8195
"Spain, Germany",s2211
"Spain, Germany, Denmark, United States",s3068
"Spain, Italy",s1615
"Spain, Italy, Argentina",s5598
"Spain, Mexico",s4698
"Spain, Mexico, France",s5955
"Spain, Portugal",s4474
"Spain, Switzerland",s5508
"Spain, Thailand, United States",s1768
"Spain, United Kingdom",s3274
"Spain, United Kingdom, United States",s348
"Spain, United States",s91
Sweden,s1326
"Sweden, Czech Republic, United Kingdom, Denmark, Netherlands",s1833
"Sweden, Netherlands",s6202
"Sweden, United Kingdom, Finland",s7966
"Sweden, United States",s3739
Switzerland,s3381
"Switzerland, France",s7540
"Switzerland, France, Belgium, United States",s2297
"Switzerland, United Kingdom, Australia",s286
"Switzerland, United Kingdom, United States",s8659
"Switzerland, United States",s8026
"Switzerland, Vatican City, Italy, Germany, France",s7755
"Syria, France, Lebanon, Qatar",s840
Taiwan,s1178
"Taiwan, China",s2785
"Taiwan, China, France, United States",s3671
"Taiwan, Hong Kong, United States, China",s6544
"Taiwan, Malaysia",s3000
Thailand,s1068
"Thailand, Canada, United States",s8030
"Thailand, China, United States",s3718
"Thailand, United States",s2000
Turkey,s1163
"Turkey, Azerbaijan",s7386
"Turkey, France, Germany, Poland",s5224
"Turkey, India",s2614
"Turkey, South Korea",s1871
"Turkey, United States",s2180
Ukraine,s7985
United Arab Emirates,s2449
"United Arab Emirates, Jordan",s8802
"United Arab Emirates, Jordan, Lebanon, Saudi Arabia",s2403
"United Arab Emirates, Romania",s5147
"United Arab Emirates, United Kingdom, India",s4003
"United Arab Emirates, United States",s4978
"United Arab Emirates, United States, United Kingdom",s6773
United Kingdom,s1126
"United Kingdom,",s1193
"United Kingdom, Australia",s2228
"United Kingdom, Australia, Canada, United States",s8584
"United Kingdom, Australia, France",s116
"United Kingdom, Australia, France, United States",s123
"United Kingdom, Australia, United States",s577
"United Kingdom, Belgium",s573
"United Kingdom, Belgium, Sweden",s3858
"United Kingdom, Brazil, Germany",s8618
"United Kingdom, Canada",s3209
"United Kingdom, Canada, France, United States",s8357
"United Kingdom, Canada, Italy",s6524
"United Kingdom, Canada, Japan",s8602
"United Kingdom, Canada, United States",s1552
"United Kingdom, Canada, United States, Cayman Islands",s4493
"United Kingdom, Canada, United States, Germany",s4876
"United Kingdom, China",s2007
"United Kingdom, China, United States",s8617
"United Kingdom, China, United States, India",s8310
"United Kingdom, Czech Republic, Germany, United States",s6635
"United Kingdom, Czech Republic, United States, Germany, Bahamas",s6428
"United Kingdom, Denmark, Canada, Croatia",s6855
"United Kingdom, Egypt, United States",s5936
"United Kingdom, Finland, Germany, United States, Australia, Japan, France, Ireland",s1507
"United Kingdom, France",s3262
"United Kingdom, France, Belgium",s7048
"United Kingdom, France, Belgium, Canada, United States",s2713
"United Kingdom, France, Belgium, Ireland, United States",s2912
"United Kingdom, France, Belgium, United States",s5345
"United Kingdom, France, Canada, Belgium, United States",s8117
"United Kingdom, France, Germany",s6123
"United Kingdom, France, Germany, Spain",s1992
"United Kingdom, France, Germany, United States",s1765
"United Kingdom, France, Poland, Germany, United States",s1139
"United Kingdom, France, Spain, United States",s933
"United Kingdom, France, United States",s3019
"United Kingdom, France, United States, Belgium",s5324
"United Kingdom, France, United States, Belgium, Luxembourg, China, Germany",s1998
"United Kingdom, Germany",s5029
"United Kingdom, Germany, Canada",s5739
"United Kingdom, Germany, Canada, United States",s7157
"United Kingdom, Germany, France, United States",s1468
"United Kingdom, Germany, Spain, United States",s605
"United Kingdom, Germany, United Arab Emirates, New Zealand",s2456
"United Kingdom, Germany, United States",s1034
"United Kingdom, Germany, United States, France",s2554
"United Kingdom, Hong Kong",s3448
"United Kingdom, Hungary, Australia",s3348
"United Kingdom, India",s4432
"United Kingdom, India, Sweden",s8675
"United Kingdom, India, United States",s4538
"United Kingdom, Ireland",s1391
"United Kingdom, Ireland, United States",s4263
"United Kingdom, Israel, Russia",s6788
"United Kingdom, Italy",s2694
"United Kingdom, Italy, Israel, Peru, United States",s5313
"United Kingdom, Japan",s4295
"United Kingdom, Japan, United States",s3265
"United Kingdom, Jordan, Qatar, Iran",s5642
"United Kingdom, Kenya",s1931
"United Kingdom, Lithuania",s8287
"United Kingdom, Malawi",s4063
"United Kingdom, Namibia, South Africa, Zimbabwe, United States",s8633
"United Kingdom, New Zealand",s8042
"United Kingdom, Nigeria",s2324
"United Kingdom, Norway, Denmark, Germany, Sweden",s7224
"United Kingdom, Pakistan",s6403
"United Kingdom, Poland",s7473
"United Kingdom, Poland, United States",s6566
"United Kingdom, Russia",s6364
"United Kingdom, Russia, United States",s4096
"United Kingdom, Singapore",s1620
"United Kingdom, South Africa",s6598
"United Kingdom, South Africa, Australia, United States",s4942
"United Kingdom, South Africa, France",s1154
"United Kingdom, South Korea",s7271
"United Kingdom, Spain",s2531
"United Kingdom, Spain, Belgium",s8484
"United Kingdom, Spain, United States",s1398
"United Kingdom, Spain, United States, Germany",s4964
"United Kingdom, Thailand",s7688
"United Kingdom, Ukraine, United States",s5894
"United Kingdom, United States",s1106
"United Kingdom, United States, Australia",s1360
"United Kingdom, United States, Canada",s7856
"United Kingdom, United States, Czech Republic",s8605
"United Kingdom, United States, Dominican Republic",s7062
"United Kingdom, United States, France",s1176
"United Kingdom, United States, France, Germany",s6082
"United Kingdom, United States, France, Italy",s607
"United Kingdom, United States, Germany, Denmark, Belgium, Japan",s3126
"United Kingdom, United States, Ireland",s2808
"United Kingdom, United States, Japan",s2633
"United Kingdom, United States, Morocco",s8327
"United Kingdom, United States, Spain, Germany, Greece, Canada",s6811
"United Kingdom, West Germany",s4551
United States,s1
"United States,",s4654
"United States, Argentina",s2693
"United States, Australia",s1239
"United States, Australia, China",s5509
"United States, Australia, Mexico",s6627
"United States, Australia, Samoa, United Kingdom",s7342
"United States, Australia, South Africa, United Kingdom",s8411
"United States, Belgium, Canada, France",s2080
"United States, Bermuda, Ecuador",s5931
"United States, Botswana",s7557
"United States, Brazil",s6795
"United States, Brazil, India, Uganda, China",s8703
"United States, Brazil, Japan, Spain, India",s1076
"United States, Brazil, South Korea, Mexico, Japan, Germany",s4677
"United States, Bulgaria",s1922
"United States, Cambodia",s7453
"United States, Cambodia, Romania",s1334
"United States, Canada",s1102
"United States, Canada, Belgium, United Kingdom",s6671
"United States, Canada, China",s8222
"United States, Canada, France",s6475
"United States, Canada, Germany",s6929
"United States, Canada, Indonesia, United Kingdom, China, Singapore",s4928
"United States, Canada, Ireland",s4820
"United States, Canada, Japan, Panama",s8478
"United States, Canada, United Kingdom",s2150
"United States, Chile",s3263
"United States, Chile, Israel",s7219
"United States, China",s2263
"United States, China, Canada",s1627
"United States, China, Colombia",s1763
"United States, China, Hong Kong",s163
"United States, China, United Kingdom",s1098
"United States, Colombia",s1269
"United States, Colombia, Mexico",s5306
"United States, Czech Republic",s4477
"United States, Czech Republic, United Kingdom",s8229
"United States, Denmark",s5272
"United States, East Germany, West Germany",s8746
"United States, France",s1049
"United States, France, Canada",s2396
"United States, France, Canada, Belgium",s2004
"United States, France, Canada, Lebanon, Qatar",s7165
"United States, France, Canada, Spain",s6887
"United States, France, Denmark",s1761
"United States, France, Italy, United Kingdom",s610
"United States, France, Japan",s3017
"United States, France, Mexico",s6799
"United States, France, Serbia",s1609
"United States, France, South Korea, Indonesia",s8798
"United States, France, United Kingdom",s5954
"United States, France, United Kingdom, Japan",s6879
"United States, Germany",s1257
"United States, Germany, Australia",s7902
"United States, Germany, Canada",s2312
"United States, Germany, Mexico",s8414
"United States, Germany, United Kingdom",s8167
"United States, Germany, United Kingdom, Australia",s8004
"United States, Germany, United Kingdom, Italy",s8168
"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",s8
"United States, Greece",s7455
"United States, Greece, Brazil",s7316
"United States, Greece, United Kingdom",s8300
"United States, Hong Kong",s8160
"United States, Hungary",s5683
"United States, Hungary, Ireland, Canada",s5934
"United States, Iceland",s6354
"United States, India",s1061
"United States, India, Bangladesh",s6473
"United States, India, France",s30
"United States, India, South Korea, China",s7597
"United States, India, United Arab Emirates",s8353
"United States, India, United Kingdom",s1204
"United States, Indonesia",s6703
"United States, Ireland",s6985
"United States, Ireland, United Kingdom, India",s1619
"United States, Israel, Italy, South Africa",s6372
"United States, Israel, United Kingdom, Canada",s4520
"United States, Italy",s1611
"United States, Italy, France, Japan",s136
"United States, Italy, Romania, United Kingdom",s137
"United States, Italy, United Kingdom, Liechtenstein",s6620
"United States, Japan",s1135
"United States, Japan, Canada",s4880
"United States, Kazakhstan",s8163
"United States, Malta, France, United Kingdom",s1625
"United States, Mexico",s1147
"United States, Mexico, Colombia",s2600
"United States, Mexico, Spain, Malta",s2416
"United States, Morocco",s7812
"United States, Netherlands, Japan, France",s7785
"United States, New Zealand",s5070
"United States, New Zealand, Japan",s7771
"United States, New Zealand, United Kingdom",s8185
"United States, Nicaragua",s6800
"United States, Nigeria",s2131
"United States, Norway, Canada",s2934
"United States, Philippines",s2095
"United States, Poland",s3118
"United States, Russia",s1665
"United States, Senegal",s7067
"United States, Singapore",s112
"United States, South Africa",s5982
"United States, South Korea",s1408
"United States, South Korea, China",s6647
"United States, South Korea, Japan",s3320
"United States, Spain",s3063
"United States, Spain, Germany",s7028
"United States, Sweden",s4364
"United States, Sweden, Norway",s8321
"United States, Switzerland",s475
"United States, Taiwan",s4012
"United States, Thailand",s1264
"United States, United Arab Emirates",s6945
"United States, United Kingdom",s1145
"United States, United Kingdom, Australia",s5559
"United States, United Kingdom, Canada",s142
"United States, United Kingdom, Canada, China",s2122
"United States, United Kingdom, Canada, Japan",s7961
"United States, United Kingdom, Denmark, Sweden",s6880
"United States, United Kingdom, France",s1112
"United States, United Kingdom, France, Germany, Japan",s3009
"United States, United Kingdom, Germany",s3375
"United States, United Kingdom, Germany, Hungary",s611
"United States, United Kingdom, India",s1843
"United States, United Kingdom, Italy",s6885
"United States, United Kingdom, Japan",s2678
"United States, United Kingdom, Morocco",s8328
"United States, United Kingdom, New Zealand",s951
"United States, United Kingdom, Spain, South Korea",s7970
"United States, Uruguay",s7888
"United States, Venezuela",s8598
Uruguay,s1293
"Uruguay, Argentina",s2675
"Uruguay, Argentina, Germany, Spain",s3003
"Uruguay, Argentina, Spain",s4253
"Uruguay, Germany",s1124
"Uruguay, Guatemala",s3206
"Uruguay, Spain, Mexico",s3762
Venezuela,s6676
"Venezuela, Colombia",s7693
Vietnam,s2058
West Germany,s5613
Zimbabwe,s2447
